# TCP Pareto benchmark (N=2000000 connections, 4000000 ops per workload)
# variant	mode	workload	pf	ns_per_op	alloc_mib	bytes_per_entry
map48	map	90_5_5	16	10.4	128.0	67.1
map64	map	90_5_5	16	7.6	128.0	67.1
split	map	90_5_5	16	7.3	72.0	37.7
split_n2	map	90_5_5	16	9.7	72.0	37.7
packed	map	90_5_5	16	8.1	72.0	37.7
packed_n2	map	90_5_5	16	10.2	72.0	37.7
map48	map	90_5_5	24	10.4	128.0	67.1
map64	map	90_5_5	24	7.8	128.0	67.1
split	map	90_5_5	24	7.7	72.0	37.7
split_n2	map	90_5_5	24	10.0	72.0	37.7
packed	map	90_5_5	24	8.3	72.0	37.7
packed_n2	map	90_5_5	24	10.3	72.0	37.7
map48	map	90_5_5	32	10.3	128.0	67.1
map64	map	90_5_5	32	7.5	128.0	67.1
split	map	90_5_5	32	7.4	72.0	37.7
split_n2	map	90_5_5	32	9.8	72.0	37.7
packed	map	90_5_5	32	8.0	72.0	37.7
packed_n2	map	90_5_5	32	10.1	72.0	37.7
map48	map	90_5_5	40	10.2	128.0	67.1
map64	map	90_5_5	40	7.2	128.0	67.1
split	map	90_5_5	40	7.4	72.0	37.7
split_n2	map	90_5_5	40	9.9	72.0	37.7
packed	map	90_5_5	40	8.3	72.0	37.7
packed_n2	map	90_5_5	40	10.4	72.0	37.7
map48	map	90_5_5	48	10.5	128.0	67.1
map64	map	90_5_5	48	7.3	128.0	67.1
split	map	90_5_5	48	7.4	72.0	37.7
split_n2	map	90_5_5	48	9.9	72.0	37.7
packed	map	90_5_5	48	7.7	72.0	37.7
packed_n2	map	90_5_5	48	9.9	72.0	37.7
map48	map	90_5_5	64	10.2	128.0	67.1
map64	map	90_5_5	64	7.2	128.0	67.1
split	map	90_5_5	64	7.4	72.0	37.7
split_n2	map	90_5_5	64	9.9	72.0	37.7
packed	map	90_5_5	64	7.9	72.0	37.7
packed_n2	map	90_5_5	64	10.0	72.0	37.7
map48	map	50_25_25	16	11.4	128.0	67.1
map64	map	50_25_25	16	9.2	128.0	67.1
split	map	50_25_25	16	10.6	72.0	37.7
split_n2	map	50_25_25	16	11.8	72.0	37.7
packed	map	50_25_25	16	11.3	72.0	37.7
packed_n2	map	50_25_25	16	12.2	72.0	37.7
map48	map	50_25_25	24	11.3	128.0	67.1
map64	map	50_25_25	24	9.2	128.0	67.1
split	map	50_25_25	24	10.7	72.0	37.7
split_n2	map	50_25_25	24	11.9	72.0	37.7
packed	map	50_25_25	24	11.6	72.0	37.7
packed_n2	map	50_25_25	24	12.4	72.0	37.7
map48	map	50_25_25	32	11.4	128.0	67.1
map64	map	50_25_25	32	9.3	128.0	67.1
split	map	50_25_25	32	10.7	72.0	37.7
split_n2	map	50_25_25	32	11.9	72.0	37.7
packed	map	50_25_25	32	11.1	72.0	37.7
packed_n2	map	50_25_25	32	12.1	72.0	37.7
map48	map	50_25_25	40	11.3	128.0	67.1
map64	map	50_25_25	40	8.9	128.0	67.1
split	map	50_25_25	40	10.7	72.0	37.7
split_n2	map	50_25_25	40	12.0	72.0	37.7
packed	map	50_25_25	40	11.6	72.0	37.7
packed_n2	map	50_25_25	40	12.6	72.0	37.7
map48	map	50_25_25	48	11.5	128.0	67.1
map64	map	50_25_25	48	9.3	128.0	67.1
split	map	50_25_25	48	10.9	72.0	37.7
split_n2	map	50_25_25	48	12.0	72.0	37.7
packed	map	50_25_25	48	11.3	72.0	37.7
packed_n2	map	50_25_25	48	12.3	72.0	37.7
map48	map	50_25_25	64	11.4	128.0	67.1
map64	map	50_25_25	64	9.0	128.0	67.1
split	map	50_25_25	64	10.7	72.0	37.7
split_n2	map	50_25_25	64	11.9	72.0	37.7
packed	map	50_25_25	64	11.3	72.0	37.7
packed_n2	map	50_25_25	64	12.4	72.0	37.7
